compound	dose	no_of_replicates_per_compound	well	median_replicate_correlation	p_value	assay
milrinone	10 uM	5	O13	0.0599187146822945	0.012	Cell Painting
minaprine	10 uM	4	K19	0.0857510444865441	0.06	Cell Painting
minoxidil	10 uM	5	L07	0.3538207805891717	0	Cell Painting
mirodenafil	10 uM	5	G19	0.2696786801150137	0	Cell Painting
mirtazapine	10 uM	5	I13	0.0467758172268232	0.028	Cell Painting
mitomycin-c	10 uM	5	I07	0.7287558467896257	0	Cell Painting
mk-0752	10 uM	5	B13	0.2351176858917914	0	Cell Painting
mk-0773	10 uM	2	E13	0.12257280764055	0.035	Cell Painting
mk-0812	10 uM	5	I19	0.2644277762031923	0	Cell Painting
mk-0893	10 uM	5	G01	0.508953700893988	0	Cell Painting
mk-2461	10 uM	5	D19	0.525952962622195	0	Cell Painting
mk-3207	10 uM	5	N19	0.0609377264382282	0.035	Cell Painting
mk-8033	10 uM	5	J07	0.3741033104348817	0	Cell Painting
mk-8245	10 uM	5	N07	0.1620439618604316	0.002	Cell Painting
mln0128	10 uM	5	L01	0.45258921086473	0	Cell Painting
mln2480	10 uM	2	N13	0.0689180180070029	0.151	Cell Painting
mln9708	10 uM	5	N07	0.7070790534989001	0	Cell Painting
moclobemide	10 uM	5	M07	0.0086538947614141	0.563	Cell Painting
molindone	10 uM	5	P07	0.1411622595454846	0.001	Cell Painting
molsidomine	10 uM	5	P01	0.1729889808064099	0	Cell Painting
moxidectin	10 uM	5	N13	0.6594982463981102	0	Cell Painting
moxifloxacin	10 uM	5	N13	0.1147907999337515	0	Cell Painting
moxisylyte	10 uM	5	M19	0.0522855364707238	0.022	Cell Painting
mozavaptan	10 uM	5	I19	0.4556523521300607	0	Cell Painting
mycophenolate-mofetil	10 uM	5	A07	0.7303022029411272	0	Cell Painting
mycophenolic-acid	10 uM	5	L07	0.7070592615744656	0	Cell Painting
n6022	10 uM	5	A07	0.0272911863309673	0.124	Cell Painting
nafamostat	10 uM	5	I13	0.1745381075087125	0	Cell Painting
naftidrofuryl	10 uM	5	A07	0.0840224374500598	0.001	Cell Painting
naftopidil	10 uM	4	G19	0.1492492101364189	0.002	Cell Painting
nalbuphine	10 uM	5	N01	0.0539506434473954	0.163	Cell Painting
naphazoline	10 uM	5	L19	0.12410657122138	0	Cell Painting
naproxen	10 uM	5	F19	0.0878901321423376	0.033	Cell Painting
naringenin	10 uM	5	F01	0.2080328643180932	0	Cell Painting
narlaprevir	10 uM	5	K19	0.4980452281951726	0	Cell Painting
nateglinide	10 uM	2	P19	-0.0216596651530064	0.95	Cell Painting
navitoclax	10 uM	5	P19	0.7325213296783324	0	Cell Painting
nebivolol	10 uM	5	D13	0.3218669637405676	0	Cell Painting
nefiracetam	10 uM	5	K13	0.0291634884834525	0.125	Cell Painting
nefopam	10 uM	5	N13	0.016441112480588	0.474	Cell Painting
nelarabine	10 uM	5	D01	0.2949602153282228	0	Cell Painting
nemonapride	10 uM	5	A07	0.1259217037919649	0	Cell Painting
nepafenac	10 uM	5	A19	0.0425795165930962	0.239	Cell Painting
neratinib	10 uM	5	M19	0.5503024146275093	0	Cell Painting
nesbuvir	10 uM	5	P07	0.0947698370010721	0.006	Cell Painting
netupitant	10 uM	5	O07	0.6622521255915073	0	Cell Painting
nevirapine	10 uM	5	A07	0.055133249461514	0.005	Cell Painting
niacin	10 uM	5	M19	0.0461289870273599	0.038	Cell Painting
nicaraven	10 uM	5	O19	0.0864649367878541	0.008	Cell Painting
nicardipine	10 uM	5	E19	0.3839985493655687	0	Cell Painting
nicergoline	10 uM	5	I07	0.1725962348759793	0	Cell Painting
nicotinamide	10 uM	5	D07	0.0323443752344675	0.143	Cell Painting
nicotine	10 uM	5	F13	0.0270586038432697	0.28	Cell Painting
niguldipine	10 uM	5	N07	0.1134535203075889	0.004	Cell Painting
nikethamide	10 uM	5	M13	0.0665136710280149	0.005	Cell Painting
nilotinib	10 uM	5	C13	0.4153788252967496	0	Cell Painting
nimesulide	10 uM	5	J01	0.1515060580719131	0	Cell Painting
nimodipine	10 uM	5	G19	0.1995706189571263	0	Cell Painting
nintedanib	10 uM	5	L01	0.5896711253551805	0	Cell Painting
nisoxetine	10 uM	5	I19	0.0259936673030344	0.177	Cell Painting
nitrendipine	10 uM	5	G19	0.1105903188039378	0	Cell Painting
nizofenone	10 uM	5	I01	0.1394790368706724	0.001	Cell Painting
nms-1286937	10 uM	5	I01	0.7322824570937876	0	Cell Painting
norethindrone	10 uM	5	G07	0.2029899103736115	0	Cell Painting
norethisterone	10 uM	5	N13	0.1793798853130837	0	Cell Painting
norfloxacin	10 uM	5	O07	0.0833648626647818	0	Cell Painting
norgestrel	10 uM	5	M01	0.3680032825334164	0	Cell Painting
nortriptyline	10 uM	5	J07	0.7057383666496617	0	Cell Painting
noscapine	10 uM	5	F19	0.182940183358223	0.003	Cell Painting
novobiocin	10 uM	5	N01	0.0624999448372196	0.102	Cell Painting
nsi-189	10 uM	5	D19	0.0399510649805211	0.08	Cell Painting
nutlin-3	10 uM	5	A19	0.6866335280688219	0	Cell Painting
nvp-dpp728	10 uM	5	J19	0.0872422885904133	0.001	Cell Painting
nxy-059	10 uM	5	E01	0.0420356507573953	0.19	Cell Painting
o6-benzylguanine	10 uM	5	L13	0.0393503100449894	0.028	Cell Painting
odanacatib	10 uM	5	H19	0.2275469595623658	0	Cell Painting
ofloxacin	10 uM	5	N01	0.0662413689314072	0.077	Cell Painting
oglemilast	10 uM	5	B07	0.4569427760516725	0	Cell Painting
olaparib	10 uM	4	I07	0.4615991340524965	0	Cell Painting
olmesartan	10 uM	5	M07	0.2553185319933733	0	Cell Painting
omecamtiv-mecarbil	10 uM	5	O19	0.1398696939449104	0.001	Cell Painting
omeprazole	10 uM	5	B07	0.09680831448124	0	Cell Painting
ondansetron	10 uM	5	C13	0.0827414880499982	0.009	Cell Painting
oprozomib	10 uM	5	O07	0.7600015029074967	0	Cell Painting
orantinib	10 uM	5	A13	0.1511884689160103	0.001	Cell Painting
ore1001	10 uM	5	L19	0.0313630473616975	0.204	Cell Painting
org-9768	10 uM	2	I13	0.0064058733398291	0.545	Cell Painting
orlistat	10 uM	5	F13	0.4633784567643852	0	Cell Painting
orphenadrine	10 uM	5	H19	0.1746683933028713	0	Cell Painting
orteronel	10 uM	4	E01	0.0611858091235982	0.083	Cell Painting
oseltamivir-carboxylate	10 uM	5	E01	0.0534144536517141	0.084	Cell Painting
ostarine	10 uM	5	N19	0.1654302305272865	0	Cell Painting
otamixaban	10 uM	5	G07	0.0675548870607745	0.048	Cell Painting
otilonium	10 uM	5	M07	0.2290517670593739	0	Cell Painting
ots167	10 uM	5	O07	0.7052385488653355	0	Cell Painting
oxandrolone	10 uM	5	B13	0.1962978231081324	0	Cell Painting
oxaprozin	10 uM	5	B19	0.0357589358516212	0.124	Cell Painting
oxatomide	10 uM	4	J01	0.1553184969441457	0.002	Cell Painting
oxfendazole	10 uM	5	G19	0.5417892973359972	0	Cell Painting
oxiconazole	10 uM	5	C01	0.3051802843379381	0	Cell Painting
oxiperomide	10 uM	5	K19	0.5781316036728832	0	Cell Painting
oxybenzone	10 uM	5	J19	0.1135445127727766	0.001	Cell Painting
oxybuprocaine	10 uM	5	N19	0.217604781152557	0	Cell Painting
oxybutynin	10 uM	5	I19	0.327182803751275	0	Cell Painting
oxymetazoline	10 uM	5	D13	0.1160811742188549	0	Cell Painting
oxypurinol	10 uM	5	D13	0.0310886844748193	0.168	Cell Painting
ozagrel	10 uM	5	G01	0.068781281666165	0.032	Cell Painting
pa-824	10 uM	5	M01	0.2389276783782676	0	Cell Painting
paclitaxel	10 uM	5	H19	0.5912145081282589	0	Cell Painting
palbociclib	10 uM	5	A19	0.6010792278449117	0	Cell Painting
palmitoylethanolamide	10 uM	5	B19	0.1820646113484805	0	Cell Painting
palomid-529	10 uM	5	B19	0.4098715910213538	0	Cell Painting
palonosetron	10 uM	5	E13	0.2100409658365274	0	Cell Painting
palovarotene	10 uM	5	I07	0.4285982399639256	0	Cell Painting
papaverine	10 uM	5	A13	0.389187817234122	0	Cell Painting
paracetamol	10 uM	2	J19	-8.729367575295e-4	0.6	Cell Painting
paroxetine	10 uM	2	D13	0.2050652082841788	0.027	Cell Painting
pasireotide	10 uM	5	N01	0.0802212324747926	0.022	Cell Painting
pazopanib	10 uM	5	I01	0.5521551612037912	0	Cell Painting
pazufloxacin	10 uM	5	M07	0.0042876537201682	0.657	Cell Painting
pd123319	10 uM	5	L13	0.0502147530267993	0.006	Cell Painting
pd153035	10 uM	5	E01	0.3199469197411591	0	Cell Painting
pelitinib	10 uM	5	E01	0.7516598363165241	0	Cell Painting
pemirolast	10 uM	5	C07	0.0591044001977327	0.007	Cell Painting
penfluridol	10 uM	5	P13	0.602560346803022	0	Cell Painting
penicillin-v-potassium	10 uM	2	P07	0.1105661164041556	0.114	Cell Painting
pentamidine	10 uM	5	G07	0.7223972965666703	0	Cell Painting
pentoxifylline	10 uM	5	G07	0.2475356379898379	0	Cell Painting
perhexiline	10 uM	5	D13	0.6637092612372801	0	Cell Painting
pf-02545920	10 uM	5	K19	0.5340724395340013	0	Cell Painting
pf-03084014	10 uM	5	P19	0.6144418593422685	0	Cell Painting
pf-03758309	10 uM	5	K13	0.5743885124138921	0	Cell Painting
pf-03814735	10 uM	5	E01	0.502240714993566	0	Cell Painting
pf-04136309	10 uM	5	H19	0.1277945349433717	0	Cell Painting
pf-04447943	10 uM	5	N19	0.0268888509513211	0.432	Cell Painting
pf-04457845	10 uM	5	P13	0.3485863269642952	0	Cell Painting
pf-04620110	10 uM	5	J07	0.0377156185298202	0.129	Cell Painting
pf-04691502	10 uM	5	N07	0.4712426374657646	0	Cell Painting
ph-797804	10 uM	5	H01	0.1694861406084158	0	Cell Painting
pha-848125	10 uM	5	J01	0.7358403735861908	0	Cell Painting
phenazone	10 uM	5	K19	0.1063142285116525	0.01	Cell Painting
phenformin	10 uM	5	P13	0.3177599005642564	0	Cell Painting
phensuximide	10 uM	5	M19	0.0997083720943253	0.001	Cell Painting
phentermine	10 uM	5	G07	0.0500796242861692	0.155	Cell Painting
phentolamine	10 uM	5	E19	0.1756061782010922	0	Cell Painting
phenylacetylglutamine	10 uM	5	I19	0.0616449194694915	0.012	Cell Painting
phenylbutazone	10 uM	5	K13	0.065788997028855	0.004	Cell Painting
phenylbutyrate	10 uM	5	B13	0.0314174344812566	0.216	Cell Painting
phenylephrine	10 uM	5	O19	0.0775365978301582	0.012	Cell Painting
phenytoin	10 uM	5	B19	0.0377087918083085	0.105	Cell Painting
physostigmine	10 uM	5	C01	0.0974374671538568	0.001	Cell Painting
pibenzimol	10 uM	5	I01	0.3428551048347035	0	Cell Painting
piclamilast	10 uM	5	G19	0.1276568303273663	0	Cell Painting
picolinic-acid	10 uM	4	E13	0.0388978759415356	0.175	Cell Painting
picotamide	10 uM	5	P13	0.0245080050135272	0.385	Cell Painting
piketoprofen	10 uM	5	N13	0.1323467990389579	0	Cell Painting
pilaralisib	10 uM	5	O13	0.3727276290353262	0	Cell Painting
pilocarpine	10 uM	5	E01	0.0560959916747422	0.073	Cell Painting
pimavanserin	10 uM	5	A19	0.4372423942683879	0	Cell Painting
pimecrolimus	10 uM	5	B07	0.4828679939117077	0	Cell Painting
pimobendan	10 uM	5	D07	0.5866587496946307	0	Cell Painting
pimozide	10 uM	4	F19	0.4669706110072348	0	Cell Painting
pinacidil	10 uM	2	P01	0.0337769597331526	0.512	Cell Painting
pinaverium	10 uM	5	L01	0.2040408548127283	0	Cell Painting
pinitol	10 uM	5	E13	0.078545097881225	0.002	Cell Painting
pioglitazone	10 uM	5	D13	0.3174427635113423	0	Cell Painting
piperidolate	10 uM	5	O19	0.1035960490929337	0.004	Cell Painting
pirenoxine	10 uM	5	L01	0.193839330690907	0	Cell Painting
pirenzepine	10 uM	5	F19	0.0317292698610771	0.289	Cell Painting
pirfenidone	10 uM	5	M13	0.0238847430975949	0.243	Cell Painting
piribedil	10 uM	5	N07	0.1432630790200124	0.002	Cell Painting
piroxicam	10 uM	5	D19	0.0837353940921073	0.003	Cell Painting
pitavastatin	10 uM	5	A13	0.7389762915958652	0	Cell Painting
pki-179	10 uM	5	I01	0.6906461329741396	0	Cell Painting
podophyllotoxin	10 uM	5	N01	0.8254728168448393	0	Cell Painting
pomalidomide	10 uM	5	E13	0.1560096841024889	0	Cell Painting
pramipexole	10 uM	5	I07	0.1781848098962574	0	Cell Painting
pranlukast	10 uM	5	N19	0.0605442241079305	0.039	Cell Painting
pravastatin	10 uM	5	J19	0.0329384827561134	0.079	Cell Painting
prazosin	10 uM	5	D19	0.0926511024973771	0.001	Cell Painting
prednisone	10 uM	5	C01	0.124478064302673	0	Cell Painting
preladenant	10 uM	5	E07	0.0842468750165747	0.002	Cell Painting
primaquine	10 uM	5	A19	0.5305798030433192	0	Cell Painting
primidone	10 uM	5	E01	0.0376316575094998	0.231	Cell Painting
pritelivir	10 uM	5	A13	0.1615911559763426	0.001	Cell Painting
probenecid	10 uM	5	J07	0.115212707563106	0	Cell Painting
probucol	10 uM	5	M13	0.127824648656475	0	Cell Painting
procainamide	10 uM	5	F13	0.0177942361050951	0.431	Cell Painting
prochlorperazine	10 uM	5	C01	0.3741315185041148	0	Cell Painting
progesterone	10 uM	5	O19	0.1013422592126611	0.004	Cell Painting
proglumide	10 uM	5	B07	0.0233541182838034	0.149	Cell Painting
proguanil	10 uM	5	G19	0.0649943234083069	0.012	Cell Painting
propafenone	10 uM	5	D19	0.3209412828209822	0	Cell Painting
propentofylline	10 uM	5	K01	0.0926430340867835	0.004	Cell Painting
propranolol	10 uM	5	L01	0.0887794895661887	0.024	Cell Painting
protirelin	10 uM	5	H19	0.0817139892872724	0.001	Cell Painting
protriptyline	10 uM	2	L01	0.2104964353698217	0.016	Cell Painting
prx-08066	10 uM	5	H01	0.4206332131488279	0	Cell Painting
psi-6130	10 uM	5	P13	0.2400272204976656	0	Cell Painting
pterostilbene	10 uM	5	B07	0.375695402461878	0	Cell Painting
pyrazinamide	10 uM	5	J07	0.0561632069606225	0.038	Cell Painting
pyrazinoylguanidine	10 uM	5	P13	0.1295818325307337	0	Cell Painting
quercetin	10 uM	5	P01	0.1906515268784785	0	Cell Painting
quetiapine	10 uM	5	E01	0.1534243699236867	0.001	Cell Painting
quiflapon	10 uM	5	M19	0.1768803981351815	0	Cell Painting
quinapril	10 uM	5	I13	0.0762967692037849	0	Cell Painting
quinidine	10 uM	5	P01	0.0729777537343826	0.046	Cell Painting
quinidine	10 uM	5	M01	0.0729777537343826	0.128	Cell Painting
quizartinib	10 uM	5	G01	0.403538907392803	0	Cell Painting
r-428	10 uM	5	L19	0.8150540539569819	0	Cell Painting
r547	10 uM	5	E01	0.7945110784695035	0	Cell Painting
rabeprazole	10 uM	5	M13	0.2685614558854814	0	Cell Painting
racecadotril	10 uM	5	B19	0.0549628092873679	0.023	Cell Painting
raclopride	10 uM	5	B13	0.0312896015404229	0.217	Cell Painting
radezolid	10 uM	5	K01	0.3546850927446799	0	Cell Painting
raf265	10 uM	5	C01	0.5331495544438709	0	Cell Painting
raloxifene	10 uM	5	H07	0.7228437567002026	0	Cell Painting
raltegravir	10 uM	4	N19	0.1197426547173548	0.002	Cell Painting
ramatroban	10 uM	5	D13	0.0476954368040976	0.051	Cell Painting
ramelteon	10 uM	5	I19	0.0519664222442028	0.022	Cell Painting
ramipril	10 uM	5	E19	0.0272379930752168	0.443	Cell Painting
ranitidine	10 uM	5	I07	0.0293259467384679	0.418	Cell Painting
ranolazine	10 uM	5	J19	0.0474040300595557	0.014	Cell Painting
rasagiline	10 uM	5	H19	0.0269357292813342	0.26	Cell Painting
rebamipide	10 uM	5	A19	0.1140283691781902	0.006	Cell Painting
reboxetine	10 uM	2	F19	0.0543548807925737	0.287	Cell Painting
refametinib	10 uM	5	F01	0.6672912525577062	0	Cell Painting
regadenoson	10 uM	5	M01	0.159211023462512	0.002	Cell Painting
regorafenib	10 uM	5	F19	0.6913039482989395	0	Cell Painting
relcovaptan	10 uM	5	N01	0.0966846723442657	0.004	Cell Painting
repaglinide	10 uM	5	H07	0.1889674955767087	0	Cell Painting
reparixin	10 uM	5	E07	0.1650686186576103	0	Cell Painting
resatorvid	10 uM	5	P19	0.0911763909606089	0.764	Cell Painting
reserpine	10 uM	5	L01	0.2480508532849404	0	Cell Painting
resiquimod	10 uM	5	K01	0.0651980903737148	0.037	Cell Painting
resminostat	10 uM	5	C07	0.4059938427219597	0	Cell Painting
resveratrol	10 uM	5	N19	0.5712520089130202	0	Cell Painting
retapamulin	10 uM	5	N07	0.5551128080639062	0	Cell Painting
retigabine	10 uM	5	H01	0.0574307243938347	0.052	Cell Painting
rg-7388	10 uM	5	C07	0.5632243186508923	0	Cell Painting
rg2833	10 uM	4	L01	0.494613191018902	0	Cell Painting
rg4733	10 uM	5	H01	0.389481887731288	0	Cell Painting
ribavirin	10 uM	5	G19	0.1799410783962732	0	Cell Painting
rifabutin	10 uM	5	G01	0.1514139112510575	0.001	Cell Painting
rifaximin	10 uM	5	E19	0.1338864440523275	0.001	Cell Painting
rilmenidine	10 uM	5	N19	0.1601508113209518	0	Cell Painting
rilpivirine	10 uM	5	H19	0.4112205238038668	0	Cell Painting
rimantadine	10 uM	5	I13	0.120483364589017	0	Cell Painting
rimcazole	10 uM	5	J01	0.5132713846954136	0	Cell Painting
rimexolone	10 uM	5	D01	0.5552580021754467	0	Cell Painting
rimonabant	10 uM	5	H13	0.537862559897632	0	Cell Painting
riociguat	10 uM	5	L07	0.1125241502466155	0	Cell Painting
ripasudil	10 uM	5	I01	0.3287918424048237	0	Cell Painting
risperidone	10 uM	5	J01	0.1981175313582533	0	Cell Painting
ritodrine	10 uM	5	E19	0.1681112392367166	0	Cell Painting
rivaroxaban	10 uM	5	P19	0.4064043770463078	0.02	Cell Painting
rizatriptan	10 uM	5	G01	0.4169646733826377	0	Cell Painting
ro-4987655	10 uM	5	I07	0.6930058664899217	0	Cell Painting
rociletinib	10 uM	5	N13	0.3670089402116032	0	Cell Painting
rocuronium	10 uM	5	I13	0.0481821770506569	0.026	Cell Painting
roflumilast	10 uM	4	M19	0.1028676863367183	0.006	Cell Painting
rolipram	10 uM	5	O07	0.0600643501458079	0.007	Cell Painting
romidepsin	10 uM	5	P13	0.8493687260121345	0	Cell Painting
ropinirole	10 uM	5	C01	0.0675956772870724	0.015	Cell Painting
roquinimex	10 uM	4	P13	0.1104715892117012	0	Cell Painting
roscovitine	10 uM	5	O07	0.2138840181541212	0	Cell Painting
rosiglitazone	10 uM	5	P07	0.2557848851875358	0	Cell Painting
rosuvastatin	10 uM	5	H13	0.0395401463741753	0.102	Cell Painting
rotigotine	10 uM	5	J01	0.0421920835426331	0.219	Cell Painting
rottlerin	10 uM	4	O13	0.2156820098543539	0	Cell Painting
rotundine	10 uM	5	M19	0.0452049071850949	0.042	Cell Painting
roxithromycin	10 uM	5	E01	0.1906210170950662	0.001	Cell Painting
rs-127445	10 uM	5	N01	0.1141641347283797	0	Cell Painting
ru-58841	10 uM	5	D19	0.0344906096554622	0.122	Cell Painting
rucinol	10 uM	5	L13	0.1119373092330771	0	Cell Painting
rupatadine	10 uM	5	P01	0.2554359137171057	0	Cell Painting
rutin	10 uM	5	I01	0.0653187555761275	0.055	Cell Painting
s18986	10 uM	4	K13	0.0246779295508816	0.222	Cell Painting
safinamide	10 uM	5	B19	0.0730009129728888	0.006	Cell Painting
salvinorin-a	10 uM	5	B19	0.0831580002951154	0.001	Cell Painting
saquinavir	10 uM	5	E13	0.5268255913207318	0	Cell Painting
saracatinib	10 uM	5	L07	0.7838194009942885	0	Cell Painting
sarcosine	10 uM	5	B13	0.0941904560639196	0	Cell Painting
sasapyrine	10 uM	5	O07	0.091317525842438	0	Cell Painting
saxagliptin	10 uM	5	P13	0.0910487397501595	0	Cell Painting
sb-683698	10 uM	5	M13	0.2009479407235188	0	Cell Painting
sb-705498	10 uM	5	K01	0.4490187283198904	0	Cell Painting
sb-743921	10 uM	5	C13	0.4657747569636585	0	Cell Painting
sb-756050	10 uM	5	D01	0.1084836449165028	0	Cell Painting
sb-939	10 uM	5	O13	0.6318139053399257	0	Cell Painting
sc-12267	10 uM	5	O07	0.7085613231869936	0	Cell Painting
scopolamine	10 uM	5	A07	0.0479286531965251	0.011	Cell Painting
sdz-nkt-343	10 uM	5	K19	0.4068621078264585	0	Cell Painting
secnidazole	10 uM	5	H13	0.0060060042541588	0.603	Cell Painting
selamectin	10 uM	5	J01	0.5513892218881313	0	Cell Painting
selegiline	10 uM	5	I07	0.0280214535517793	0.439	Cell Painting
selumetinib	10 uM	5	E19	0.5436219466268117	0	Cell Painting
semagacestat	10 uM	5	O07	0.197175548403333	0	Cell Painting
semaxanib	10 uM	5	F19	0.2846475430874282	0	Cell Painting
senicapoc	10 uM	5	F19	0.0648061540904437	0.072	Cell Painting
seocalcitol	10 uM	5	D01	0.1419729931482943	0	Cell Painting
sep-227900	10 uM	5	P13	0.0602536632455144	0.017	Cell Painting
sertaconazole	10 uM	5	L13	0.324274310846768	0	Cell Painting
sertindole	10 uM	5	E19	0.7626549368041983	0	Cell Painting
sertraline	10 uM	5	I01	0.6079334947821362	0	Cell Painting
setiptiline	10 uM	5	P19	0.0852915782242242	0.787	Cell Painting
sgi-1776	10 uM	5	N13	0.4555102065984246	0	Cell Painting
siguazodan	10 uM	5	B07	0.0401465213468868	0.032	Cell Painting
sildenafil	10 uM	5	O19	0.053824100736804	0.089	Cell Painting
simeprevir	10 uM	5	D19	0.689679001908015	0	Cell Painting
simvastatin	10 uM	5	L19	0.8218188734049041	0	Cell Painting
sirolimus	10 uM	5	P19	0.4654703063300036	0.004	Cell Painting
sk&f-10047-(+)	10 uM	5	H01	0.0594129379460183	0.048	Cell Painting
snx-2112	10 uM	5	I01	0.2982317920595923	0	Cell Painting
sobetirome	10 uM	5	N07	0.0268924209169874	0.257	Cell Painting
sodium-gualenate	10 uM	5	P13	0.0573377385227885	0.021	Cell Painting
sodium-tanshinone-ii-a-sulfonate	10 uM	5	L13	0.0411581096453634	0.02	Cell Painting
sofalcone	10 uM	4	F13	0.1900966094586775	0.003	Cell Painting
sofosbuvir	10 uM	5	G07	0.2608449002355903	0	Cell Painting
solifenacin-succinate	10 uM	5	L01	0.5602682393881298	0	Cell Painting
sorbinil	10 uM	5	E07	0.0060624088779343	0.694	Cell Painting
sorbitol	10 uM	5	L07	0.1138608423228517	0	Cell Painting
sotalol	10 uM	5	H01	0.0697405794565435	0.031	Cell Painting
sotrastaurin	10 uM	5	G07	0.5751690278707422	0	Cell Painting
sparfloxacin	10 uM	5	P07	0.1307256544971011	0.001	Cell Painting
spironolactone	10 uM	5	O07	0.1813556545699432	0	Cell Painting
sr-2640	10 uM	5	D01	0.1934822740677611	0	Cell Painting
sr-33805	10 uM	2	M07	0.6241838222065937	0	Cell Painting
sta-5326	10 uM	2	K01	0.6515341840918463	0	Cell Painting
stavudine	10 uM	5	D13	0.3110671035788618	0	Cell Painting
su014813	10 uM	5	H07	0.5099044681573424	0	Cell Painting
sulbactam	10 uM	5	N19	0.0448010509548163	0.159	Cell Painting
sulbutiamine	10 uM	5	D01	0.1097744609692666	0	Cell Painting
sulfafurazole	10 uM	5	B13	0.0486697571848283	0.063	Cell Painting
sulfasalazine	10 uM	5	L07	0.0164276117936607	0.406	Cell Painting
sulforaphane	10 uM	5	K01	0.6270987681215479	0	Cell Painting
sumatriptan	10 uM	5	A19	0.1113012325527994	0.007	Cell Painting
sunitinib	10 uM	5	I13	0.7506980140340613	0	Cell Painting
suprofen	10 uM	5	I13	0.0577567025149725	0.005	Cell Painting
suvorexant	10 uM	5	H13	0.2814591527996519	0	Cell Painting
swainsonine	10 uM	5	M19	0.5855782078596286	0	Cell Painting
t-5224	10 uM	5	C13	0.046902264904720103	0.046	Cell Painting
tacalcitol	10 uM	5	L01	0.2596098614695585	0	Cell Painting
tacedinaline	10 uM	5	E07	0.4933004591092639	0	Cell Painting
tacrine	10 uM	5	D07	0.1719945505260569	0	Cell Painting
tacrolimus	10 uM	5	N07	0.4239924460418213	0	Cell Painting
tadalafil	10 uM	5	E19	0.0923277323327241	0.007	Cell Painting
tafamidis-meglumine	10 uM	5	I13	0.1121010670575008	0	Cell Painting
tagatose	10 uM	5	A13	0.0371570073779094	0.26	Cell Painting
tak-285	10 uM	5	A13	0.4726124029735046	0	Cell Painting
tak-733	10 uM	5	G19	0.4727260897755488	0	Cell Painting
tak-875	10 uM	5	E13	0.2575532741755779	0	Cell Painting
taladegib	10 uM	5	P07	0.1060497598868871	0.005	Cell Painting
